Power Demand (MW),Month,Day of the Week,Time of the Day (Hour),Voltage Unbalance
1441.013086491916,1,0,7,0.14989241519959795
1100.039302091806,5,3,22,0.1909333258486079
1244.6844960264348,2,0,18,0.2991767473260516
1560.2232998003644,12,0,19,0.29161139943303194
1466.889497537492,2,1,12,0.2619349658503662
755.6805300308972,10,2,11,0.20899269123280848
1237.5221043813974,8,3,14,0.2992119377625422
962.1606979255755,4,2,20,0.22697097467122018
974.1952870516105,7,3,5,0.12104440605050587
1102.6496254845931,11,3,18,0.3100118463004026
1036.0108927902195,7,2,19,0.25872210707462584
1363.5683767407438,5,5,4,0.16488316528586539
1190.2594312867484,12,5,1,0.12792195626548747
1030.418754123207,11,5,17,0.3290302193884735
1110.9658081863563,1,2,17,0.29657262394233863
1083.4185818435667,12,4,9,0.18753732371535353
1373.5197682894016,2,0,4,0.12229800362007778
948.7104340585498,4,1,0,0.06636876141349482
1078.2669254127254,2,0,23,0.11219743553549048
786.4760651745688,9,4,12,0.24510565491635827
361.7525460414803,12,3,17,0.26434993536855117
1163.4046488600902,2,2,3,0.11438389568889094
1216.1090497148764,6,6,4,0.15252803627086978
814.4587448983896,4,6,1,0.0988292179315276
1567.438655996902,11,4,7,0.20307956509521496
636.4085813503089,6,1,12,0.22358231131682496
1011.4396293253615,1,2,13,0.25240760538422163
953.2040374935416,10,2,16,0.28561215414954066
1383.1948035896144,9,6,11,0.2700869289336548
1367.3396924750714,8,3,18,0.32828452876293907
1038.736856424229,1,5,5,0.14108562810644726
1094.5406299005433,11,5,18,0.3143172193235283
778.0535630924718,7,5,23,0.1627584337101257
504.80088294401827,10,4,7,0.1350394654688859
913.0219626684618,12,2,19,0.26450238127952347
1039.087242275995,3,3,22,0.1744596914194053
1307.57267018193,8,1,16,0.2991769315064638
1300.5949621961029,12,3,15,0.2794426076164333
903.168295648012,2,5,14,0.27477347497981813
924.4243123561661,9,2,16,0.2874992185792491
737.8617587332269,12,0,22,0.1363714745310302
644.9955157052561,3,1,0,0.04894516526583365
573.4324523437468,7,3,4,0.0968064850966884
1487.6938488079475,9,2,7,0.16089581542996406
872.5869545620866,10,3,19,0.2807642665850179
890.4814245972034,11,0,1,0.06427185716510676
686.8011599875185,1,4,7,0.1501592684728352
1194.3725889579775,8,3,12,0.2577063206730753
596.5255381105121,8,5,1,0.08600581296700052
946.8149299465078,6,5,9,0.20575849696157414
776.1333597015811,6,1,3,0.09638935091404138
1096.7256244648156,6,1,7,0.1298718704983487
872.2987156077818,6,4,5,0.12779471462183017
704.841953969397,6,2,13,0.2456761836658973
992.9544429153362,9,0,11,0.20854059881889186
1107.0829676326043,8,0,11,0.20852347354292713
1016.629305595792,5,2,21,0.18533794820072938
1075.6179744349454,2,1,1,0.07637547917667925
841.4194765797591,1,5,18,0.30369910270340716
909.3147085032155,11,4,14,0.2733482554052468
831.8848880560122,8,2,15,0.2415105250533213
910.1117096148647,12,4,2,0.10544826803027041
796.7134294888865,4,3,13,0.23539817949475775
568.4293494170809,6,3,15,0.2590201433945481
1044.3565355634382,11,6,6,0.1900513453245316
899.5547659479346,7,6,21,0.2376509016382152
592.4504132584889,9,6,9,0.1616916699152357
1115.6955638814436,4,0,16,0.2568615692441258
773.1754089041895,4,1,5,0.10503624026276805
1012.9863489490348,4,4,21,0.21570781392529975
1182.272640544384,12,0,23,0.1386788251157577
1032.2457276893526,1,2,13,0.2585165725305999
1284.8501711358251,12,2,6,0.17397907000126503
691.2935449115869,9,0,2,0.06457329971796741
1100.5854102943872,9,0,5,0.11434759955548533
828.7974772649217,1,4,7,0.16109895311819292
782.3007127045296,12,0,11,0.19940338791154905
855.2875838088961,4,6,16,0.3073263113361483
922.1118669681568,5,3,18,0.3094604865111956
1014.0413355574364,9,4,16,0.28186643962200847
708.7125398041609,6,5,18,0.3134760091656922
1225.2066217385468,11,6,14,0.3065388990538379
1116.4156099326149,4,0,17,0.2845581473681577
615.939078430694,7,6,13,0.2899359230941134
1372.0630484489,4,1,16,0.28853972023880053
1473.9722940076458,8,5,12,0.284682173031846
1294.6948927899127,11,6,12,0.3026645882711188
955.0187910469123,2,5,9,0.19462074460885687
732.3118446223643,4,5,20,0.26011646286102025
1263.612931732784,1,6,16,0.31626313911533926
899.205763256705,6,2,4,0.11266374857789874
1305.611267595607,4,3,12,0.25602649660335164
1052.068744519215,3,0,5,0.09221827666581113
1244.1597591209281,1,3,13,0.26166229602905244
1089.0915992936004,5,2,13,0.2548536190808367
1176.643292047987,9,6,9,0.22696585349282333
1002.6250051802051,5,6,18,0.3285987445761942
1446.4676234764588,5,1,2,0.10214013273801821
1031.728023175905,2,6,15,0.29645554455883344
1100.4973408611754,5,5,17,0.3211012533759519
1470.7876742640635,9,0,5,0.13843374637192685
663.0602347143883,3,3,3,0.1171057531122438
